sentence	emotion
I can't afford the wheels .	6
Are you buried alive ? No .	4
[PERSON] ? How'd I get here ?	4
You let everyone sit around while you took your petty revenge ?	3
It's bad .	8
Oh my God ! You guys are all a bunch of freaks .	7
At that rate , we only have three weeks .	4
He must have killed a man .	2
You think the clowns took him up and hung him in the yard ?	3
I like him so much .	8
One last compliment , okay ?	2
I'm flying under false colours , Miss [PERSON] .	3
This is dreadful !	6
Fuck you , [PERSON] .	1
I will not return to prison .	1
She's dying .	6
Smash everything ! Rip it , tear it , rip it ...	1
Some soda . Can I have a soda ?	2
Hey , buddy boy !	2
Give him quinine and stop pretending you're [PERSON] .	1
You know , you remind me more and more of my first husband .	1
He's cute .	5
He's no use to no one !	1
Decker won't tell anyone .	8
We only have minutes on safe window of operation .	2
You admire the son of a bitch .	8
What's more to the point , that money was next year's budget for the Drug Rehabilitation Clinic .	1
Go to your girlfriend's or a hotel , but don't come home .	3
Gim me my coat !	1
Everybody is afraid here .	4
We'll be out of this tunnel in a minute .	2
Let me ask you something .	2
Who would he choose ?	7
Come over here and nobody gets hurt . OK , OK .	1
Come on , come on , don't drop it ...	8
Somebody moved it .	1
You ought to know your way around here pretty well .	8
Jefe , wake up !	2
You're going down	1
I think that I'm pretty enough , but I would not want to be that kind of star .	6
No , I just thought we could spend the day together .	6
She was so excited to see her mother .	5
So what'd you do ?	4
That would be risking your neck .	4
Look , I was never at [PERSON]'s house .	1
If he resists , arrest him .	2
Put him in my custody right now !	1
Rocky , I'm sorry .	6
* Uh-oh uh-oh ... Why did you take down the [LOCATION] Lace number ?	4
Grab him .	2
Maybe we've forgotten how to hope .	6
I've written it for you .	8
She doesn't care .	1
It's three years since my last confession .	4
We were deserving the money , anyway .	1
Find out where they take the cash .	1
What if an RD conks out ?	6
Hello , sunshine !	5
What does that say ?	2
Open the door , asshole !	1
Everything's funny to you , ain't it , needle nose ?	3
Children , I have bad news for you .	6
He's such a sweet thing .	8
It's hard to believe , isn't it ?	7
I wouldn't have had it any other way .	5
God !	7
Fucking cops !	4
It's a shame , isn't it ?	3
Well , I'm no loser .	1
Sucker .	1
Oh , he didn't do it for you , [PERSON] .	1
Why , what is the matter with you ?	1
Not your boychick , yeah ?	1
I think my cook has managed guess what I like .	8
I ain't talking about that crap !	1
Yes , I have .	8
Oh , my !	7
There's gonna be a great deal that we're gonna be able to accomplish , the three of us .	2
You don't bring enough men with you .	4
Until last year , when he met a British publisher who spoke to his heart .	8
It makes my heart sad .	6
Did you bring some gold with you ?	2
These are death row inmates !	4
I'm gonna kill it .	1
I couldn't ...	4
No ! You know what you're full of , [PERSON] ? Sin !	6
How about we go and have a. . .	5
I fear the wrath of God .	4
What the hell happened in there ?	1
You know what happens to stragglers .	3
Martial law .	4
She's not a spy .	8
Well , I - I believe ... I believe things have gone far enough .	4
I had made the first real enemy of my life .	4
Yeah , we're on our way there .	2
You mean , people can hear me now ?	7
You don't see what's happening .	1
However many questions you ask , you never expect an answer .	1
Very loyal .	8
The reason you never take your wallet out at a ball game or anyplace else is that someone's gonna steal it from you .	4
Tell him you're not going , tomorrow morning or ever .	6
Listen , I'm trying to make a living here .	2
Paige ...	1
I'll fly tomorrow to [LOCATION] and tell you all I know .	8
This is your shit bucket , folks .	3
Stop ! Who goes there ?	1
How beautiful they are	5
I don't think everybody goes through life thinking about child sex trafficking in the [LOCATION] .	6
Hope you'll be there .	2
And a special welcome to Mayor [PERSON] and the outgoing administration .	2
Will you leave me a few for a room and something to eat ?	8
Here they come !	2
Yeah , you're just kidding .	1
Only when the weapons were used at [LOCATION] and [LOCATION] did the government disclose what they were .	1
I am the one who cuts the throats of the Communists .	2
It's good .	5
That's a fair question .	8
You've overlooked several other important details .	1
Well , we're all sinners in here .	6
I know you will .	2
You and me rode into this county together .	8
It's your fault .	3
You've forgotten , this is the th century .	6
You've put us all in danger for your love of this woman .	1
You sure you want to do this ?	7
Easterner speaks with forked tongue .	3
If you wan na survive , you got ta slip the jab .	8
Where is everybody ?	7
I mean , I realize you don't have to answer me , but don't forget I helped you into this world , okay ?	8
We will go as fast as you .	8
He's an idiot .	1
Admiral's party approaching .	3
You mind if I change , honey ?	2
I don't think [LOCATION]'s ever coming back , [PERSON] .	6
And I love this movie ,	5
You mean you're trading in your horse for a wagon ride ?	7
Where's a good place ?	2
Dad , did you know your bones grow three times as fast at night ?	8
Kelly's dead ?	4
You're jealous that I have [PERSON] , and you've come to take it from me .	1
You slimy toad .	3
I will complete the task . Out .	8
How perfectly lovely .	5
I got it !	5
We'll have to find new opportunities .	2
So maybe if I screw you and take you to the opera , then I can be happy . Hey !	5
I go back to [LOCATION] today .	2
I'm sick and tired of this delay .	6
Well , if he can ...	6
This is only going to make it worse for you .	1
Yeah ? The last time you assured me , I lost good men in the [LOCATION] .	1
Fail !	6
You were going to give me that statue .	2
[PERSON] , give me the nails over there !	1
Don't be an idiot .	1
All right , I'll tell him .	8
He wants to die !	4
At that point , I pulled out the phone book and I started contacting attorneys .	2
Well , I don't . And I don't need this .	1
You , who can keep neither your eyes nor your nose or your person where they belong !	3
He owes me $ , and won't pay up .	1
Never , in any crisis of your life , have I known you to have a handkerchief .	7
My life is none of your business .	1
Yeah , I got it .	8
She'll never make another picture .	1
You didn't say grace .	1
And if I refuse to sign it ?	1
I'm going to have to leave this place real soon , thanks to you .	1
♪ years old ♪	5
Unfortunately , Professor [PERSON] is dead .	6
Who else worries about another male like that except a [GAY SLUR] ?	3
It's no good .	6
Time could not mar the perfect symmetry of those walls .	5
[PERSON] , there's no way the DA handles a case like this himself just because I work for you .	1
Let me see .	2
What the hell do you want ?	1
Thank you for making me a Human Being .	8
Every little sin and misdemeanour , raked over and over .	3
They took the one with the collar ?	1
I was holding her in my arms ...	4
Probably not , hon , but somebody else's folks will be ... all that sand to brush off .	1
But I'll meet you at the [LOCATION] movie theatre .	2
It's time you woke up to your responsibilities .	3
Listen , I've got something for you .	8
Everything that could go wrong was considered .	8
Everybody's waiting .	2
Nevertheless , I still believe that you love .	8
Not a victim , [PERSON] -- a target , like you .	4
Do it right away .	2
All right . Let's go .	1
What the hell does that mean ?	1
A sequined gown dragging me down .	6
I'm sorry , I'm sorry .	6
Would you like to go out to grab a burger and then go to the movies or something ?	2
As far as I'm concerned , a coconut hit you on the mouth .	7
I would call ... revenge .	1
Seventeen to you , [LOCATION] .	3
What on earth have they been doing to you ?	7
My dad's gone , too .	6
Do exactly what I tell you and there won't be any problems .	1
I absolutely do not wan na hear about it .	1
I hardly consider it fortunate to be bought by anyone by the name of [PERSON] .	3
King [PERSON] says not only do I have to kill you ,	4
And I want a list of everybody's budgets , research accounts and financials on my desk by tomorrow .	1
You're ruining it !	1
Please , I'm begging you .	4
You British insult easy . Can't catch one of these cruds passing up a buck .	1
[PERSON] thinks he's a smart - ass .	3
This is gonna be so great !	2
Tell them to get the hell out of there .	1
Never forgets a bra size .	2
Go ahead , you can be frank .	8
We've been kicking ass for 200 , years !	5
He used a grenade ?	7
You're all worthless and weak !	3
I can hear the fat lady singing , [PERSON] . I can hear her singing .	2
I've isolated her forever .	3
I asked you to dance three times and you didn't wan na .	6
Someone at [LOCATION] gave or sold highly secret research material to four competitive firms .	3
That makes no sense .	3
It's for you , the famous [PERSON] .	8
Think I should go out with [PERSON] ?	8
He's ready for a fall .	3
We're going to be killed !	4
He died kind of slow .	6
Are you trying to say something ?	7
Even though we were close , even though you betrayed me , and I trusted you , I would never harm you .	8
If we yield to blackmail from this man , we'll become a laughing stock !	4
And the more dangerous you are , the shorter the options on your future .	4
Hmm , it's a nice place .	5
A strange ship was sighted running out of the storm .	4
If you tell anyone who is not in this room about this project , this bullet has your name on it , and it will find you .	1
Hold on , there .	2
It could be .	2
Come in .	2
You would like to see them , wouldn't you ?	2
When my sister sees you she'll be so happy for me	2
You were right .	8
If you'd like to come with me . Yes .	8
Mark : Once upon a time , there was a little boy named isaac	8
We're not running low , are we ?	4
Hi , nice to meet you .	2
All you need now is a divorce , and your dreams of [PERSON] can come true .	2
Please don't do this to me .	4
Dad , I met this really nice girl today .	5
Och , you don't want to let them worry you .	8
More chanting ! Father !	2
Louder !	1
So we eliminate women , old men and kids .	3
Who wears a thing like that ?	7
There will be no further mistakes from the officers and crew .	3
Judge , may we approach ?	3
She loved racing .	5
I can smoke you out of there easy .	1
Not exactly .	6
I was shot up pretty bad .	4
I'm surprised at you !	7
I'll kill you .	1
Our train leaves early tomorrow morning .	2
Great principles don't get lost once they come to light .	5
We must leave tonight .	6
You hurt me . Yes .	1
You want to give the bankers good news tomorrow .	2
You're doing fine , all right .	5
Look how nicely she has arranged the table .	5
The question is abusive .	3
I'll make amends .	8
If I didn't love these boys so much , I think I'd kill them myself .	3
Cut the shit .	1
So do you want eggs or not ?	1
And then , of course , there was the unexpected and , I must say , regrettable suicide of [PERSON] .	6
Sometimes I think you don't even know I live here .	6
It's you .	4
My father died of a heart attack .	6
Someone we know ?	7
I've got a piece to speak and blow hot or cold , I'm gonna speak it !	1
First , take him to the station .	1
Take care of my son here .	8
Are we here at the mechanic ?	7
Hey , I bet you'd look good in one too .	8
We can't cover for him , [PERSON] .	1
Makes rude gestures at people doing their socialist duties .	3
In fact , I'm just about to haul nuggies .	5
It don't hurt having ' an angel on your side .	8
It's for a good cause .	5
You must have one idea for the good of the country .	3
Lieutenant , what exactly happened here ?	8
I am afraid of murder .	4
I'm not gonna sit here and be accused of things without any evidence !	1
But ...	2
Hasn't God forgiven me , thanks to you ?	8
Is there anybody here ?	2
Not even the pleasure of seeing you free ... Can make up for this ... This disgrace to the cause of justice .	1
We booked two seats , but we need three .	3
Silly old man looking after that young thing .	1
[PERSON] , what do we do now ?	2
How about yourself ? - Cool .	2
Trying to make her think her husband is still alive .	6
This is a man's world , a brutal world .	6
You've taken advantage of my wife .	1
I'm proud of you !	8
How come there is no fire in the room ?	4
Turn me loose and get out .	1
I made some dumb mistakes ...	3
You're hopelessly outnumbered	4
If I hadn't seen you on the news , I wouldn't have known who his partner was .	2
If you come back , I promise I'll never do anything naughty again .	8
lt's good you told me . lt's very brave .	5
Now , you mind if I dance with your wife ?	2
This one's already taken .	3
If you won't give it to me , I'll shoot .	1
I won't have this conversation carried on by the children .	1
Hey ! Guess what ?	2
Thanks for lending it to me .	8
I need to get up to see some people named [PERSON] .	2
What might be the first reaction ?	2
You can't sit . Not till you pay the fare .	1
Might not get another chance .	6
Why isn't he at his desk ?	7
But you haven't had much respect for them .	3
I love you , [PERSON] .	5
I know what these jerks are like .	8
They look like giants .	4
Don't make me feel like this .	6
Watch your manners .	3
I can try .	2
I'm so glad we could talk .	5
God better help them and help you , too .	8
That's absurdly hypothetical .	6
I think you've solved the problem .	8
You and that winning personality of yours .	8
Just another white guy waiting for the train .	3
I have information for you .	2
Ladies and gentlemen , the famous [PERSON] has gladly consented to sing a few songs for us tonight .	2
You know , ten Colombians and Scorpios armed to fuck all .	1
You have exact change ?	2
My God , stop him !	4
Did the kids get to eat all right ?	8
She puts the same information out there , Collects her paycheck , and somehow she sleeps at night .	3
Oh , my boobs are killing me .	3
I got a man here that sailed on the Golden Arrow And lived to tell about it .	7
Sephardic .	1
Man , they'd lock me up from now to [PERSON] .	4
I guess there's this part of me that hopes he doesn't even make it ...	4
Captain , we're in serious trouble .	4
I don't know , the words just slipped out .	7
Oh , monkey . - ( laughs )	5
Surprise !	5
I was the opposite . I was angry .	4
He's a contemptible little pervert who's ...	3
I strongly suggest you don't mess with G - Fresh anymore !	1
[PERSON] was good to me .	8
The last time this witch went to a party , she made the princess prick her finger with a spindle and fall asleep for years .	1
Don't hit daddy .	4
He was my only boy , and I love him so much .	8
No ! By God , you may not !	1
I am the lie .	6
You think I don't know why you got me down here on this cockamamie case ?	1
NCMEC has a slightly different view of its interactions with [PERSON] .	6
In other words , you don't know ?	7
I didn't know anything about this .	6
No , you don't know what it is .	1
If I could only close my eyes for a few hours .	6
Get out of my way !	1
I will be punished , and I should be punished .	4
Are you a fool or a mutineer ?	2
I'm afraid Scraps will have to be shot .	6
The hero of 50,000 , boys and 100,000 , parents .	8
[PERSON] , bring some of that stuff .	2
They're pretty hopeless .	6
Our steamroller methods are getting too hard for your sensitive soul ?	3
He don't know the streets .	1
They're okay .	5
Terribly disappointed . It's the last thing I owned .	6
LEAVE THE DOOR UNLOCKED , UNDRESS , SHOWER , BLINDFOLD YOURSELF AND COME TO BED	8
Do something !	1
Hope this thing don't go off while I'm climbing down .	4
You're gonna even that out , aren't you ?	1
What do you want to see tonight ?	2
It sounds ridiculous , but the soldiers never lifted a hand to stop us .	7
Your father always called him the house genius .	8
I command thy putrid spirit Be banished from this child's soul .	1
Ma'am , I don't know how to put into words the sorrow I feel .	6
Did you not once direct [PERSON] and [PERSON] ?	2
Two destroyers hit by mines ...	6
Pervert .	3
Why do you say that ?	7
What's the deal here ? You used to work here or something ?	1
I beg your pardon ? I leave tomorrow morning for [LOCATION] .	1
I didn't mean to kill him .	4
You're a crazy son of a bitch , [PERSON] , but we're with you .	8
If you hadn't promised so faithfully , I wouldn't have planned the whole thing .	1
That's the first encouraging thing you've said .	7
Shut up , [PERSON] !	1
You see that gun in his hands ?	4
A nice one , maybe .	5
At night the executioner can't tell one from another	4
It was nice of you to break your date .	5
And a right good one .	5
I've got some good wine .	5
You could tell it was for real , because they never even gave out interviews about getting married .	8
You sound like a rug salesman .	8
We know you're sad , buddy , but you got ta go to school .	6
He'll lay out the plan of operation for you .	2
Thanks , [PERSON] .	8
I've never told you how to live it and never interfered .	1
And when that bill passed , I was so proud .	8
Because it is in love with her , clear .	5
You won't tell anyone you saw me in there , will you ?	8
Isn't it possible that some sort of external intelligence , some discarnate entity , has crossed into our plane of existence ?	4
Go dry yourself , [PERSON] .	1
Yeah , I'd like to burn it out of my mind .	6
More than two ?	7
Poor [PERSON] .	6
It's like that time in [LOCATION] when he made me walk ... stripped down to only my long - handles and my hat .	4
She's turnin' around !	5
Well , if his books are any indication , he has lived quite a life .	7
Take our offer .	8
Don't push me too far , [PERSON] .	1
I've got it ...	2
Barley's got three chances to make contact .	8
I want to help out people that I like .	2
Good night , [PERSON] . Good night . - Good night .	8
Wh ... what do you want me to do , pa ? Git another girl ?	4
Run , [PERSON] !	4
Now we're even .	8
If you have any last words , say them now .	1
But [PERSON] told me she was with you .	7
Too many passengers , I'm afraid .	6
Decker's been calling again .	1
Why did you say [PERSON]'s better ?	1
Let me me go somewhere else . I'm sick .	6
Why can't I play with you ?	6
Right , that's better , it's closer .	5
Break every mirror in the palace .	1
Darling , you're so good to me .	5
Ha ha !	7
Any favours that I do for you don't need any payment .	8
Maybe she even killed my partner , [PERSON] .	1
Professor ?	7
A little further .	2
Touch me and I'll sue .	1
Thank you all for makin' it unanimous .	8
Look , in what I do , there are sometimes pressures .	4
It's too late to think of him .	6
I wonder what's on the television ?	2
Which is fine , because you really never could have had me anyway .	5
Then he divorced my mother to be with another woman . And he took his money with him .	1
In my mind's eyes I see three circles joined in priceless , graceful harmony .	5
The fact that you don't drink at all , [PERSON] , is the greatest argument for drunkenness I know .	1
I'm not a complete stranger . More like a relative one . Like family .	8
You're goddamn right you got the wrong room .	1
There were others . Most of them are still with me .	8
Our island is peaceful .	5
Come on , man . I feel fucked up already .	1
Of what it is of use ?	2
Well , I never thought I'd see the day .	7
It's too dangerous , it's utterly unpredictable .	4
Some things you just don't tell anybody .	1
It's pretty awful .	1
Today you are full - fledged ensigns .	8
I'll call when I'm through with [PERSON] .	2
Violin , soccer , track , friends , uh ... memories with my brother and sister playing .	5
New places , new people and new sites of interest .	2
Vamos !	1
Maybe you can talk this over later in private , maybe .	4
It's hard to believe that you haven't had sex for 200 , years .	7
But I'm not out of danger yet .	4
I'm gonna see it if I have to go blind trying .	1
Where is this manuscript ?	2
The lady comes in sudden and she's got this gun .	4
He's a big fish . Buys me time .	8
You hit the books tonight and I'll listen to you tomorrow .	8
Don't embarrass me in front of [PERSON] .	4
You son of a bitch .	1
So what do you want from me ? Huh ?	1
Have them send me up some roast chicken and chocolate pudding .	2
It sounds to me like you have an agenda .	4
This is a mistake .	3
If I thought I made you feel like that , I'd kill myself .	3
I suppose she means well .	4
Get in the drawing room , lock the door . Don't let anybody in . Don't answer for anybody , all right ?	4
My back is getting bad .	6
I'll never eat fish again .	3
Yes , she did . I speak to your secretary more than I speak to you .	3
It's useless .	3
His uncle helped to design the original lunar module that put the first men on the moon .	8
Yes , sir , my apologies .	6
He is an integral part of the defense .	8
But inevitably , there comes a time for waking up , even for us .	2
All happened on your watch .	1
[PERSON] , I no longer trust .	3
But how can there be a question ?	7
I'm gonna fuck you up .	1
It's gonna take some getting used to , isn't it ?	2
Hundreds and thousands of them died .	6
You gave him a plane without checking with Operations ?	1
What are you gonna do all by yourself ?	7
Save me from my enemies .	8
He needs someone to underwrite the paper . Find out who .	2
Is he always like that ?	7
That is some horse .	7
Hello , sailor !	8
Come on ! Let's go !	2
I thought you were dead . I thought I was on my own . You come prancing in here with your fancy I.D.	1
Don't think I'm too scared of [PERSON]'s gang to do what's necessary .	1
I can't wait to see their faces light up .	2
Even when we rehearsed it , I felt something sad and tender .	6
Happiness is something I know nothing about .	6
It won't take that long .	8
I'm playing with you .	5
I sent you all those letters .	7
So many people are not interested in changing the laws in regards to the internet .	1
[PERSON] was just telling us what cojones he got .	2
You can't take the car !	1
You know , we might actually have a voice that would do something .	2
We don't wan na miss her , boy , we wan na get there first .	2
And the [LOCATION] had great plans for me .	2
We're gonna freeze to death .	4
You can Do better .	1
[LOCATION] was easier !	8
You suffered severe brain trauma .	6
I told him my problem , I told him I loved you and he told me to keep my trap shut .	6
They haven't even been touched !	7
Here on the ocean floor is the only independence .	2
[PERSON] , I never did thank you for hauling me out of that river .	8
There and then before the gods , you made a pact only death could break .	8
So why didn't you invite [PERSON] ?	7
This thing isn't here for decoration .	1
You don't have to hold yourself back anymore , [PERSON] .	2
I like my side of the courtroom . The pay is not so good , but the air is a lot better .	5
Now , we must act immediately .	2
That's some ride , huh ?	7
Breathe normally , And ease out slowly . Ready ?	4
Let's get hold of this [PERSON] before the others do .	1
Yeah , well , he's busy , you know . I didn't want to make waves .	8
They can not be here , so we ask you to consider them in your decision .	8
She was nothing ... nothing human .	4
I brought you these and a poem I wrote for you .	2
No , you're fucking lying .	1
No , [PERSON] .	6
You can be proud .	8
No , jocelin , listen to me , I -- - no , it's just --	1
You want what you want when you want it .	3
Pretty , huh . But I'm perfect .	5
Come on , then !	1
We voted you best officer to be marooned on a desert island with .	3
I was not jealous .	1
Daisy's leaving you .	6
What do you do for a living ?	2
This is very kind of you , Mr. [PERSON] .	5
She's on her way . - Fine .	1
They all coldcocked me .	1
Thank goodness you're all right .	5
Excuse us for interrupting . We're from the Rescue Aid Society .	8
So I'm trying to help her .	2
Remember to chew them well , okay ?	8
But that's what's so marvelous .	2
I love a coward !	5
[PERSON] , don't go to him !	4
Calm down , chica . She only owes me more .	7
See , you may have differences with me ...	8
Why did you ever go there at all ?	7
[PERSON] , you fool !	3
He looks like a little boulevardier .	5
I want to die .	6
I'll be fine .	2
You would've been tough . Very tough .	8
It was self - defence , for [PERSON]'s sake !	1
We're going on a big ship across the ocean and take you home .	2
That's darn cordial of you .	5
Viktor is a wonderful person .	5
It was disapproved of by the Party .	1
Cheers , [PERSON] .	5
Good evening , lieutenant .	5
Shoot , Lieutenant .	1
Because I want to .	8
Who had given me knowledge , my expensive one .	2
It is my prison .	3
Now , I really think this is a good place to start looking .	2
It must be serious .	4
That little gal means more to me than the whole wide world , Shooter .	8
[PERSON] accuses [PERSON] of introducing a boys camp bill for his own profit !	1
Best news I heard all year .	5
That's the way to do it .	8
I'll be a good boy .  	8
Now listen to me . This pig has cheated me out of $ million in cash .	1
Right now !	1
I got faith in you .	8
I was once one of those pitiful wretches you see down there .	3
She's upset about something .	6
What about him ?	7
My ambition is to win all your contracts , own this club and run it my way .	2
Keep it .	1
I triangulated her cell .	5
Oh , you're gonna like this one .	2
Hey , look .	7
Goodbye , Mom .	6
The Delta [PERSON] house is having a party tonight , and you are cordially invited .	2
Can't you see I'm playing pool , bruv ?	1
But you can not help her .	6
Take good care of them .	8
What he would do one day , he would gladly undo the next .	3
Please call me when you get settled .	2
Some of them are carved in stone , some of them men like [PERSON] put up there , so suckers like me could read them .	6
Hey ! I can't believe you got here !	5
Don't worry . Your secret is safe with me .	8
No way in hell .	1
It was bloody marvellous .	5
Because he's the future .	8
I can't make it tonight .	2
I love those guys .	5
You'll find I'm pretty well - connected here .	8
That's ridiculous .	1
There are men in the house with guns .	4
He knew my father very well .	8
It'll be there .	8
Of course she know them perfectly .	8
I always feel rejuvenated by a touch of adventure .	2
On an island famous for its fruit and vegetables ?	7
The key is , he's an animal .	8
The monster ?	4
Thank you .	8
OK , fellas , this is it .	2
Beauty ! Look at that .	5
Who you trying to kid , sister ?	1
Oh , [PERSON] would be mighty proud of you if you won yourself $ 25,000 .	2
Oh , I needed that .	2
When did this relationship take place between [PERSON] and [PERSON] ?	2
If you ask you're going to get an absolute no .	1
You go round there and say you're sorry .	3
I found something out yesterday .	2
You were incredible today .	8
[PERSON] , will you ever get out from under Rocky's shadow ?	6
Bridge ...	1
The dishes are on the table , the refrigerator door was open ...	3
Open it .	2
She'll never come back no more .	6
Oh , it will be a beautiful attack .	2
My magical powers are no good at all	6
Why is he naked , Sergeant ?	7
An honorary stooge like me against the Taylors and Paines , the machines and the lies .	3
Another miracle will happen .	2
Champagne , [PERSON] !	5
Younger Bear was just trying to hand me the worst possible insult .	3
Is there no a door of another side ?	4
You know , just have more fun with it , that's all .	8
Now , this will get him !	1
I know a little about everything .	5
We expect the best from you .	2
This is my show . I'm calling the shots .	1
I was scared shitless they'd think I was still alive .	4
They murder everything that moves .	4
Are we gonna rescue an old man or stand here and argue ?	1
You must be confused , senor .	1
He says that [LOCATION] will uphold it in every court ... but I will drag you through every court , don't forget that .	1
Amateur .	1
You could make a handsome profit on your stock .	2
Well , don't you understand that if your crops fail this year , next year you're going to have to have another blood sacrifice ?	4
Sister [PERSON] , I've got to give the girls their Religious Studies class in fifteen minutes .	2
You're a liar .	1
Hurry , hurry !	4
I was gonna fix some chow . wanna join me ?	2
I respect your new life .	8
Seemed worried about it .	4
Because they're the best . - Is there anything else ?	2
What about staying alive !	4
Still a lot of soldiers around Better get inside	2
Some gang of cutthroats and murderers .	4
I wish we did this before .	5
You didn't know he's back ?	7
Would you repeat it in court ?	8
If you don't mind , I'm gonna sit right here , catch myself a breeze or two , and then I'll be on my way .	2
What is not going to be easy ?	3
We're due for five days of sunshine .	2
In the dream , the destroyer's destroyed .	4
Why aren't they firing ?	4
You ain't calling the tune !	1
You were getting over your broken heart .	6
This is so embarrassing .	3
No more soap opera .	3
I wish I were free tonight .	6
God , I've got ta be with her , at least till she learns my name .	2
House of Abercrombie and [PERSON] , publishers , drunk or sober .	1
I broke my heel on my shoe .	6
You've no right to do it to him .	1
We're looking forward to a real contest .	2
We're perfectly in sync , [PERSON] .	8
Ain't no harm in being sociable .	5
But you're lying .	3
You'd think it was her own life she was fighting for .	2
Don't be nervous .	8
This presumptuous little flirtation is over .	3
Time flies when you're having fun .	5
You want a cute little infant .	2
You will , [PERSON] , you will .	1
I like .	8
You thought that everything would happen behind your back , ... For your secret mission .	3
Set us free !	1
Champion of dumb animals , ladies in distress , lost kids and lost causes .	3
You need a somebody .	8
This kid has taken a savage beating .	4
You going out tonight , [PERSON] ?	2
I'm sorry we got here too late to see you dance .	3
I don't want to die !	4
Can I have your gun , please ?	8
He took six pills in one hour , instead of one every four hours .	4
He's a real pro .	8
Deal ?	2
You're gonna be outta work , you keep scamming like you are .	3
How about Admiral [PERSON] , sir ?	2
In fact , I'm not doing anything tomorrow .	2
Better jump into the tree and hide	2
Not the way it is .	4
The women have to move before it's too late .	2
Clowns carry horns , little rubber ones .	1
We whispered your names when we were kids ... scared to say them out loud .	4
He got wounded somewhere in [LOCATION] , and they sent him home .	4
I don't have time .	6
They'll beg us to let them in .	1
You're not afraid , huh ?	8
I want one ! Cuts along on a jolly clip too , doesn't she ?	2
For pocket money he helps some of the older residents with their groceries .	8
lt was [PERSON] . - How do you - l tailed him .	7
Sometimes cheap perfume can be very exciting .	5
You wan na fire me , fire me .	1
We're going home .	2
He'll know what to do .	8
Right .	8
What's happening ?	2
A wonderful idea .	5
One night , knowing his wife is out ... He calls her and begs her to see him again .	6
Who is he ?	7
Don't mind my saying so , but why don't you do something about your hair ?	3
I don't know . I don't know .	6
I forgot who I was .	7
You're doing all right .	8
Get going , [PERSON] ! [PERSON] !	1
It's just all too much right now . You know , I just ...	1
Tonya !	5
Anyone can make a mistake .	8
He's not even in yet . Well , you tell him not to file anything .	1
You have any idea what you're doing to that poor woman ?	1
You're passing up the whitest man on earth for a dirty , no - good ...	3
Don't have a boyfriend ?	2
Why in the hell didn't you blow those things when you had the chance ?	1
They're looking for us , all right .	4
What the fuck ?	1
And it would tell what we would most like to know .	2
He missed the turn .	1
They're waiting for you .	8
Gentlemen , how about a little lunch ?	2
She won't answer her helm , sir .	7
Hi , Pa.[LOCATION]	8
He is the owner of [LOCATION] .	8
Continue , [PERSON] .	8
It's time to make a move .	2
What revenge ?	7
We've collected the rest of the grenade fragments .	8
You'd prefer the parents dead , too .	3
Who will write the ... digest ?	2
Yeah , she was my girl .	6
This is my home !	8
Don't you realize that Americans dislike having their children stolen ?	3
Do you remember when we first met ?	8
I've got a plan .	2
Gentlemen , I'm going to let you in on a little secret .	8
And then tolerance fades and faith turns to anger .	4
You're getting out .	7
When that bomb blows , we'll lose our oxygen fast .	4
I wan na say I appreciate what Capt. [PERSON]'s done on my behalf .	8
You're getting heavier and heavier Can't carry you much longer	4
The helicopter was destroyed , and the pilot is dead .	6
They're trying to take his old man's land .	3
He's such a liar .	3
It has been such a tremendous excitement for me , this visit .	5
Everybody that comes to [LOCATION] got a dream .	8
I don't like it , [PERSON] .	3
I could never do anything like that .	6
I'm really tempted to take you along with me ... but I'm just afraid that I'd awaken some morning ... and find you'd made a necklace with my teeth .	3
How can we be sure she'll help us free the Childlike Empress ?	6
That's your funeral .	3
You're not thinking of committing a crime ?	7
Have you a sales force , or are you still relying on divine intervention ?	1
Don't think my Pa was a pervert then .	1
You're as bad as your sister , coming home from work at all hours and colours .	1
That very one .	5
I've even ... Maybe you won't admit it , but you love me . - [PERSON] .	6
Or we have a problem with the judges .	4
Spectacles , testicles , wallet and watch .	2
Congressman [PERSON] is minutes late as usual .	1
This is our compartment , not your compartment . I would like you to leave .	1
An example for all of us .	8
I want to know everything what happened .	2
Have you found your perfect woman yet ?	2
Beautiful morning .	5
I do hope it won't affect your ego !	3
It took some guts .	8
Don't worry . A couple more years , and [PERSON] will be a speed freak like us old - timers .	2
I am exactly three inches high and it is a very good height indeed !	5
Then , suddenly , I vomited on my family . Hmm .	7
I give you my word , they were confiscated legally .	8
Shall we go to dinner ?	2
How do you take it ? Ah , just like that .	2
What's he saying ? - He says he's an Egyptian sailor .	7
Look , a fist !	7
Let's see who the real chicken is .	2
Hey dad !	2
Take it easy , I'll get you loose .	8
No , no parties for me .	1
I'd rather die .	1
All right , you take care .	8
I've been trained for it .	8
He's lying , mom .	1
I would drop off for - for for you and the squirt if ... Because ... you know , 'cause things are going well ,	8
Here they are in all their glory !	5
And then this morning - I lost 'em . - We lost them .	6
So , we intend to pursue this matter ... Until we have a full understanding on how it bears on the truth .	2
Help him , [PERSON] . [PERSON] , you got rear ! - I got one mag left .	2
It's a crime against the people who sent me here ! We are on an official mission ... and we have no right to change the orders of our superiors .	1
I hope you like it .	5
They both fell .	6
It's because he's relentless .	1
Your hair looks nice today .	5
We haven't left each other's side for the last two weeks .	8
She has the name of a man .	7
Like an old boot .	3
